,Unnamed: 0,book_id,title,image_url,tag_id,count,tag_name
1,1,2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,11305,47478,fantasy
2,2,3,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,11305,14288,fantasy
3,3,7,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,11305,41786,fantasy
5,6,13,1984,https://images.gr-assets.com/books/1348990566m/5470.jpg,11305,879,fantasy
6,7,14,Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg,11305,2179,fantasy
8,9,18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,11305,39330,fantasy
9,10,19,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg,11305,31618,fantasy
11,12,21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547m/2.jpg,11305,3441,fantasy
12,14,23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg,11305,39501,fantasy
13,15,24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg,11305,38378,fantasy
14,16,25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg,11305,37296,fantasy
15,18,27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg,11305,37174,fantasy
16,20,35,The Alchemist,https://images.gr-assets.com/books/1483412266m/865.jpg,11305,2297,fantasy
17,21,36,"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368m/3636.jpg,11305,252,fantasy
18,22,37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg,11305,19280,fantasy
19,24,39,"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693m/13496.jpg,11305,1422,fantasy
