Unnamed: 0,book_id,title,image_url,tag_id,count,tag_name
0,1,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,11305,10836,fantasy
1,2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,11305,47478,fantasy
2,3,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,11305,14288,fantasy
17114,4,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg,9886,572,drama
4260,5,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg,26138,2090,romance
4261,6,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg,26138,7849,romance
3,7,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,11305,41786,fantasy
17117,8,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg,9886,266,drama
20160,9,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735m/960.jpg,20939,5740,mystery
4263,10,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg,26138,8756,romance
17120,11,The Kite Runner,https://images.gr-assets.com/books/1484565687m/77203.jpg,9886,619,drama
5,12,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506m/13335037.jpg,11305,5134,fantasy
6,13,1984,https://images.gr-assets.com/books/1348990566m/5470.jpg,11305,879,fantasy
7,14,Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg,11305,2179,fantasy
26061,15,The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407m/48855.jpg,14552,4359,history
20161,16,"The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566m/2429135.jpg,20939,9141,mystery
8,17,"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780m/6148028.jpg,11305,8658,fantasy
9,18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,11305,39330,fantasy
10,19,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg,11305,31618,fantasy
11,20,"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419m/7260188.jpg,11305,8021,fantasy
12,21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547m/2.jpg,11305,3441,fantasy
20164,22,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg,20939,2510,mystery
14,23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg,11305,39501,fantasy
15,24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg,11305,38378,fantasy
16,25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg,11305,37296,fantasy
12178,26,"The Da Vinci Code (Robert Langdon, #2)",https://images.gr-assets.com/books/1303252999m/968.jpg,30358,5358,thriller
18,27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg,11305,37174,fantasy
8525,28,Lord of the Flies,https://images.gr-assets.com/books/1327869409m/7624.jpg,1691,812,adventure
4272,29,Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg,26138,4204,romance
20170,30,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg,20939,8307,mystery
17128,31,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg,9886,578,drama
17129,32,Of Mice and Men,https://images.gr-assets.com/books/1437235233m/890.jpg,9886,289,drama
4274,33,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,26138,1785,romance
