book_id,title,image_url,tag_id,count,tag_name_x,genres
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,11305,47478,fantasy,fantasy|adventure|mystery
7,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,11305,41786,fantasy,fantasy|adventure
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg,11305,39501,fantasy,fantasy|adventure|mystery
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,11305,39330,fantasy,fantasy|adventure|mystery
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg,11305,38378,fantasy,fantasy|adventure|mystery
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg,11305,37296,fantasy,fantasy|adventure|mystery
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg,11305,37174,fantasy,fantasy|adventure|mystery
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg,11305,31618,fantasy,fantasy|adventure
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",https://images.gr-assets.com/books/1358254974m/10572.jpg,11305,26321,fantasy,fantasy|adventure|drama
155,"The Two Towers (The Lord of the Rings, #2)",https://images.gr-assets.com/books/1298415523m/15241.jpg,11305,22700,fantasy,fantasy|adventure
135,"A Storm of Swords (A Song of Ice and Fire, #3)",https://images.gr-assets.com/books/1497931121m/62291.jpg,11305,22080,fantasy,fantasy|adventure|drama
161,"The Return of the King (The Lord of the Rings, #3)",https://images.gr-assets.com/books/1389977161m/18512.jpg,11305,21885,fantasy,fantasy|adventure
165,"A Feast for Crows (A Song of Ice and Fire, #4)",https://images.gr-assets.com/books/1429538615m/13497.jpg,11305,21423,fantasy,fantasy|adventure|drama
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",https://images.gr-assets.com/books/1472068073m/186074.jpg,11305,20679,fantasy,fantasy|adventure|romance
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg,11305,19280,fantasy,fantasy|adventure|religion
53,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852m/113436.jpg,11305,18952,fantasy,fantasy|adventure|romance
62,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747m/119322.jpg,11305,18539,fantasy,fantasy|adventure|religion
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",https://images.gr-assets.com/books/1327885335m/10664113.jpg,11305,18409,fantasy,fantasy|adventure|drama
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609m/28187.jpg,11305,16461,fantasy,fantasy|adventure|mystery
167,"American Gods (American Gods, #1)",https://images.gr-assets.com/books/1258417001m/4407.jpg,11305,16071,fantasy,fantasy|horror|adventure
389,"The Final Empire (Mistborn, #1)",https://images.gr-assets.com/books/1480717416m/68428.jpg,11305,15166,fantasy,fantasy|adventure|romance
3,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,11305,14288,fantasy,fantasy|paranormal-romance|horror
377,Stardust,https://images.gr-assets.com/books/1459127484m/16793.jpg,11305,14088,fantasy,fantasy|romance|adventure
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",https://images.gr-assets.com/books/1411114164m/33.jpg,11305,13690,fantasy,fantasy|adventure
330,"The Eye of the World (Wheel of Time, #1)",https://images.gr-assets.com/books/1337818095m/228665.jpg,11305,13093,fantasy,fantasy|adventure
322,Neverwhere,https://images.gr-assets.com/books/1348747943m/14497.jpg,11305,12777,fantasy,fantasy|adventure|horror
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",https://images.gr-assets.com/books/1452624392m/1215032.jpg,11305,12510,fantasy,fantasy|adventure|romance
355,"Graceling (Graceling Realm, #1)",https://images.gr-assets.com/books/1331548394m/3236307.jpg,11305,12310,fantasy,fantasy|romance|adventure
185,The Night Circus,https://images.gr-assets.com/books/1387124618m/9361589.jpg,11305,11645,fantasy,fantasy|romance|mystery
429,"The Color of Magic (Discworld, #1; Rincewind #1)",https://images.gr-assets.com/books/1407111017m/34497.jpg,11305,11255,fantasy,fantasy|adventure|satire
368,"The Subtle Knife (His Dark Materials, #2)",https://images.gr-assets.com/books/1451271814m/119324.jpg,11305,11166,fantasy,fantasy|adventure|religion
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",https://images.gr-assets.com/books/1392528568m/12067.jpg,11305,11127,fantasy,fantasy|religion|satire
1,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,11305,10836,fantasy,fantasy|romance|adventure
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://images.gr-assets.com/books/1400602661m/28186.jpg,11305,10652,fantasy,fantasy|adventure|romance
49,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg,11305,10301,fantasy,fantasy|romance|paranormal-romance
746,"The Lies of Locke Lamora (Gentleman Bastard, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,11305,10265,fantasy,fantasy|adventure|mystery
480,"The Amber Spyglass (His Dark Materials, #3)",https://images.gr-assets.com/books/1329189152m/18122.jpg,11305,10215,fantasy,fantasy|adventure|religion
279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",https://images.gr-assets.com/books/1470082995m/29056083.jpg,11305,10025,fantasy,fantasy|adventure|drama
52,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355m/428263.jpg,11305,9913,fantasy,fantasy|romance|paranormal-romance
